VENERA-16 KS-18-6V Ep1-5-10-65>30,a ID=VG D=UT S=14400
UT            p>30+      p>60+     p1-65+     p1-11+      p5-8+     a7-24+     p1-70-      p1-9-     p5-10-     a7-22-    xHGI,km    yHGI,km    zHGI,km
83062203  1.718E+01  1.687E+01  2.213E+01  1.459E+01  2.286E+00  1.413E-01 -9.999E+99  1.306E+01  2.992E+00  1.312E-01  1.447E+08  3.310E+07 -2.117E+06
83062211  1.706E+01  1.671E+01  2.877E+01  2.109E+01  2.818E+00  2.223E-01 -9.999E+99  1.663E+01  3.243E+00  1.626E-01  1.444E+08  3.381E+07 -2.156E+06
83062215  1.698E+01  1.671E+01  2.864E+01  2.118E+01  2.535E+00  2.323E-01 -9.999E+99  1.730E+01  3.013E+00  1.626E-01  1.443E+08  3.417E+07 -2.176E+06
83062219  1.698E+01  1.671E+01  2.518E+01  1.849E+01  2.153E+00  1.626E-01 -9.999E+99  1.535E+01  2.535E+00  1.413E-01  1.442E+08  3.453E+07 -2.196E+06
83062223  1.687E+01  1.667E+01 -9.999E+99  1.671E+01  1.837E+00  1.514E-01 -9.999E+99  1.786E+01  2.698E+00  1.514E-01  1.440E+08  3.489E+07 -2.216E+06
83062303  1.687E+01  1.663E+01  2.455E+01  1.770E+01  1.888E+00  1.626E-01 -9.999E+99  1.667E+01  2.393E+00  1.514E-01  1.439E+08  3.525E+07 -2.236E+06
83062307  1.683E+01 -9.999E+99  2.104E+01  1.521E+01  1.556E+00  1.312E-01 -9.999E+99  1.514E+01  2.080E+00  1.312E-01  1.438E+08  3.561E+07 -2.256E+06
83062311  1.687E+01  1.675E+01  1.963E+01  1.371E+01  1.507E+00  1.312E-01 -9.999E+99  1.156E+01  1.820E+00  1.012E-01  1.436E+08  3.597E+07 -2.276E+06
83062319  1.690E+01  1.675E+01  1.837E+01  1.355E+01  1.303E+00  1.312E-01 -9.999E+99  9.462E+00  1.355E+00  9.120E-02  1.434E+08  3.669E+07 -2.316E+06
83062323  1.687E+01  1.671E+01  1.766E+01  1.371E+01  1.262E+00  1.112E-01 -9.999E+99  1.148E+01  1.726E+00  1.112E-01  1.432E+08  3.706E+07 -2.336E+06
83062403  1.690E+01  1.683E+01  1.841E+01  1.306E+01  1.222E+00  1.213E-01 -9.999E+99  1.268E+01  1.718E+00  1.312E-01  1.431E+08  3.742E+07 -2.356E+06
83062407  1.690E+01  1.683E+01  1.637E+01  1.143E+01  1.072E+00  1.213E-01 -9.999E+99  1.127E+01  1.466E+00  1.012E-01  1.430E+08  3.778E+07 -2.376E+06
83062411  1.687E+01  1.675E+01  1.489E+01  1.038E+01  9.727E-01  9.120E-02 -9.999E+99  9.977E+00  1.486E+00  1.012E-01  1.428E+08  3.814E+07 -2.396E+06
83062415  1.690E+01  1.679E+01  1.486E+01  1.019E+01  9.817E-01  1.012E-01 -9.999E+99  1.151E+01  1.496E+00  9.120E-02  1.427E+08  3.851E+07 -2.416E+06
83062419  1.683E+01  1.683E+01  1.419E+01  9.908E+00  9.204E-01  1.012E-01 -9.999E+99  1.112E+01  1.374E+00  8.110E-02  1.426E+08  3.887E+07 -2.436E+06
83062423  1.690E+01  1.671E+01  1.384E+01  9.419E+00  8.492E-01  9.120E-02 -9.999E+99  9.772E+00  1.242E+00  9.120E-02  1.424E+08  3.923E+07 -2.456E+06
83062503  1.690E+01  1.687E+01  1.346E+01  9.099E+00  8.492E-01  8.110E-02 -9.999E+99  9.057E+00  1.222E+00  9.120E-02  1.423E+08  3.960E+07 -2.476E+06
83062507  1.679E+01  1.683E+01  1.276E+01  8.570E+00  7.691E-01  9.120E-02 -9.999E+99  8.610E+00  1.130E+00  7.112E-02  1.421E+08  3.996E+07 -2.496E+06
